# Z A M_true(MeV) n Delta M_pred(MeV) err(%)
102 263 289.428259 4 0.146449 289.655921 0.078660
102 264 384.459287 3 0.777320 384.356576 0.026716
103 265 480.830735 5 0.060786 480.900022 0.014410
103 266 577.408975 3 1.167859 577.464288 0.009580
104 267 663.025393 2 5.366548 663.391168 0.055168
104 268 758.206392 2 6.136376 758.554195 0.045872
105 269 855.028683 3 1.729954 855.399926 0.043419
105 270 10.618101 0 1.374648 10.620532 0.022894
106 271 105.987262 2 0.856934 105.930808 0.053265
106 272 201.039715 1 6.498958 200.843809 0.097446
106 273 297.589078 2 2.406469 297.478101 0.037292
107 274 385.265029 2 3.117065 385.319076 0.014029
107 275 480.432987 3 0.971638 480.440060 0.001472
107 276 576.752272 4 0.291598 576.738820 0.002332
107 277 662.736630 3 1.339508 662.338304 0.060103
107 278 759.156516 4 0.383892 759.282447 0.016588
108 279 854.435321 4 0.432092 854.615365 0.021072
108 280 18.010438 0 2.331640 18.014253 0.021177
109 281 105.825182 1 3.424344 105.825938 0.000715
109 282 202.029893 3 0.408674 202.074511 0.022085
110 283 297.553682 2 2.406469 297.478101 0.025401
110 284 383.018265 2 3.095756 382.684964 0.087020
111 285 480.437645 3 0.971638 480.440060 0.000503
111 286 576.367565 2 4.662395 576.346617 0.003635
112 287 663.061721 2 5.366548 663.391168 0.049686
112 288 757.771384 3 1.532533 757.782619 0.001483
113 289 855.541005 2 6.920946 855.539661 0.000157
113 290 10.646046 -1 5.508377 10.639431 0.062137
114 291 106.980235 1 3.461020 106.959366 0.019507
115 292 205.229575 2 1.660571 205.273089 0.021203
116 293 302.347150 4 0.152853 302.321186 0.008588
117 294 392.009978 3 0.792931 392.076056 0.016856
118 295 490.131704 2 3.960394 489.568036 0.115003
