Z,k,Symbole,E_exp_eV,E_pred_eV,m,Delta,Err_percent,Lambda_e,Eps_0,Eps_1,Eps_2,Eps_3,Eps_4,Eps_5,Eps_6,Eps_7,Eps_8,Eps_9,Eps_10,Eps_11,Eps_12,Eps_13,Eps_14,,,Factor_4_Zk
12,0,Mg,7.646236,7.646208560550002,-1,5.140308276000001,0.00035886219047371644,5.95,1,0,0,-1,0,1,0,1,0,-1,0,0,0,1,0,,,16777216.0
12,1,Mg,15.035271,15.0351363350125,-1,10.107654679,0.0008956605271743947,5.95,1,-1,0,1,0,0,0,0,0,-1,0,0,1,0,1,,,4194304.0
12,2,Mg,80.1436,80.14430671100001,0,13.469631380000003,0.0008818059084025689,5.95,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,,,1048576.0
12,3,Mg,109.2654,109.26568004800004,2,1.1477487400000004,0.0002563007137080942,5.95,0,1,0,0,-1,1,1,0,1,0,-1,0,0,0,0,,,262144.0
12,4,Mg,141.33,141.3294954848,1,5.938214095999999,0.00035697672116373404,5.95,0,0,1,0,1,0,1,0,0,-1,0,0,1,0,0,,,65536.0
12,5,Mg,186.76,186.7600028672,1,7.847058944,1.5352323890873401e-06,5.95,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,,,16384.0
12,6,Mg,225.02,225.0194597462,1,9.454599149,0.00024009145854200268,5.95,0,1,-1,0,0,0,0,0,-1,1,0,0,1,1,0,,,4096.0
12,7,Mg,265.924,265.92053662579997,1,11.173131791,0.0013023924880829257,5.95,1,0,0,1,1,0,0,0,0,-1,0,1,0,0,1,,,1024.0
12,8,Mg,327.99,327.9888993696001,3,0.8613153870000003,0.00033556827948709526,5.95,0,1,0,0,1,-1,-1,0,-1,0,0,0,0,1,0,,,256.0
12,9,Mg,367.489,367.4889257032001,2,3.860177791000001,2.0217421441283377e-05,5.95,0,0,0,0,0,1,0,-1,0,0,1,-1,0,1,0,,,64.0
12,10,Mg,1761.8049,1761.8114314248,2,18.506422599,0.0003707235006531935,5.95,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,,,16.0
12,11,Mg,1962.663889,1962.6634204800002,3,5.1540531000000005,2.3871637029220754e-05,5.95,1,-1,0,0,0,0,1,0,1,0,-1,0,0,1,0,,,4.0
13,0,Al,5.985769,5.985771664775,-1,4.024048178,4.4518507142058684e-05,5.95,0,0,0,1,1,0,0,0,0,1,0,1,0,-1,0,,,67108864.0
13,1,Al,18.82855,18.828622370599998,0,3.1644743479999997,0.0003843662947921908,5.95,0,0,0,0,1,-1,0,0,1,0,-1,0,1,0,0,,,16777216.0
13,2,Al,28.447642,28.447280903300005,0,4.7810556140000005,0.0012693378944856795,5.95,0,0,0,0,1,-1,0,0,0,0,-1,-1,0,1,1,,,4194304.0
13,3,Al,119.9924,119.99176118439999,1,5.041670637999999,0.0005323800507471944,5.95,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,,,1048576.0
13,4,Al,153.8252,153.82513496700003,1,6.463240965000001,4.2277208136294714e-05,5.95,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,1,,,262144.0
13,5,Al,190.49,190.49063073320002,1,8.003808014,0.0003311109244642479,5.95,0,0,0,0,0,1,1,0,0,0,1,1,0,1,-1,,,65536.0
13,6,Al,241.76,241.76122362280003,1,10.158034606000001,0.0005061312045170428,5.95,0,1,0,-1,0,0,-1,0,0,0,1,0,1,1,0,,,16384.0
13,7,Al,284.64,284.6408673304,1,11.959700307999999,0.0003047113546980866,5.95,0,0,1,-1,0,0,1,1,0,0,0,1,1,0,0,,,4096.0
13,8,Al,330.21,330.210581008,2,3.46859854,0.00017595106145789908,5.95,0,1,-1,0,0,0,-1,1,0,0,0,-1,0,0,1,,,1024.0
