k,D,a,b,err,approx
2,983,1221,-477,8.565620472355907e-08,0.5558699193774503
2,402,1113,-629,8.583965710212169e-08,0.5558698240480676
2,728,-120,371,8.649839817029926e-08,0.5558698236818933
2,953,1391,-609,8.924323194600356e-08,0.5558698221561229
2,602,-405,523,9.060461211155178e-08,0.5558699221281209
2,551,278,20,9.172642096479786e-08,0.5558698207757929
2,630,32,225,9.229859709271087e-08,0.5558699230697561
2,658,469,-73,9.384841342827017e-08,0.5558699239312523
2,700,-557,669,9.510710548004895e-08,0.5558698188965723
2,686,906,-371,9.527171420166503e-08,0.5558699247224224
2,925,954,-311,9.584101625596192e-08,0.5558698184886134
2,714,1343,-669,9.658338347919295e-08,0.5558699254515398
2,935,-688,854,1.0037266219799328e-07,0.5558699275578857
2,963,-251,556,1.011968632248788e-07,0.5558699280160342
2,374,676,-331,1.019028930899896e-07,0.5558698151189987
2,748,1352,-662,1.019028930899896e-07,0.5558698151189987
2,991,186,258,1.0197448947937435e-07,0.5558699284482932
2,897,517,-13,1.0285070205126309e-07,0.5558698145921402
2,523,-159,318,1.0352848510544214e-07,0.5558698142153811
2,869,80,285,1.1031210553743835e-07,0.5558698104445708
2,720,915,-364,1.1087153328141505e-07,0.5558698101336018
2,495,-596,616,1.1666573240039175e-07,0.5558698069127811
2,333,-283,331,1.1803142048072984e-07,0.5558699373738574
2,666,-566,662,1.1803142048072984e-07,0.5558699373738574
2,841,-357,583,1.1827034407790086e-07,0.5558698060208258
2,694,-129,364,1.1846263098726696e-07,0.5558699376135543
2,361,154,33,1.1886039558556159e-07,0.5558699378346597
3,814,-542,883,4.657449050188491e-10,0.8682439503383821
3,785,963,-199,5.715653368223425e-10,0.86824395043026
3,576,947,-316,1.743387979259488e-09,0.8682439484203158
3,605,-558,766,1.7747996138224442e-09,0.8682439483930429
3,994,979,-82,1.913027019807942e-09,0.868243951594976
3,972,373,333,3.632526208860569e-09,0.868243946780083
3,943,1878,-749,3.67046995147844e-09,0.8682439467471386
3,396,-574,649,6.380363773229349e-09,0.8682439443942896
3,763,357,216,6.531698103884898e-09,0.8682439442628945
3,367,931,-433,6.694990831402393e-09,0.8682439441211166
3,734,1862,-866,6.694990831402393e-09,0.8682439441211166
3,209,16,117,6.951531818145682e-09,0.8682439559696273
3,418,32,234,6.951531818145682e-09,0.8682439559696273
3,836,64,468,6.951531818145682e-09,0.8682439559696273
3,627,48,351,6.951531946015623e-09,0.8682439559696274
3,807,1569,-614,7.287537835327915e-09,0.8682439562613625
3,598,1553,-731,7.4049711594133616e-09,0.8682439563633233
3,950,-233,748,9.434926033430838e-09,0.8682439417421844
3,921,1272,-334,9.656479119107375e-09,0.8682439415498223
3,554,341,99,1.161833174136369e-08,0.8682439398464556
3,858,670,53,1.3104714565994849e-08,0.868243961312091
3,741,-249,631,1.4056747577108784e-08,0.8682439377293159
3,712,1256,-451,1.4531583651307421e-08,0.8682439373170423
3,649,654,-64,1.5086247778706885e-08,0.8682439630325453
3,899,666,81,1.5935463639316476e-08,0.868243936098132
3,870,2171,-1001,1.638668891255951e-08,0.8682439357063584
3,909,-229,720,1.826913852129816e-08,0.8682439657960709
3,440,638,-181,1.8950237888744192e-08,0.8682439663874313
3,880,1276,-362,1.8950237888744192e-08,0.8682439663874313
3,187,-590,532,2.128071742877567e-08,0.8682439314571477
3,700,-245,603,2.164825259299644e-08,0.8682439687299662
3,532,-265,514,2.2310000251474443e-08,0.8682439305634791
3,877,60,496,2.2529470975165342e-08,0.868243930372925
3,671,1260,-479,2.2687539831992064e-08,0.8682439696323211
3,345,325,-18,2.2867901278554863e-08,0.868243930079085
3,690,650,-36,2.2867901278554863e-08,0.868243930079085
