N-Z,N,Z,A,El,Orig,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
1,a0,ssk,w,,,,AT,MICMAS,SADJU,TMENT,,,
0,,,,,,,,DATE3Mar,2021TIME22,41,,,
0,,**,***,***,**,*******,,A=,0TO295,,,,
1N-Z,,N,Z,A,EL,OMASS,XCESS,BINDINGENE,GY/A,ETA-DECAYENER,Y,ATOMICMASS,
0 20,,4,24,68,Cr,x-15690#,500#,8026#,7#,B-13230#,583#,67983156#,537#
0 21,,5,24,69,Cr,x-9630#,500#,7939#,7#,B-15730#,640#,68989662#,537#
0 22,,6,24,70,Cr,x-5640#,600#,7884#,9#,B-14810#,781#,69993945#,644#
0 21,,6,25,71,Mn,x-16620#,500#,8030#,7#,B-15310#,640#,70982158#,537#
0 22,,7,25,72,Mn,x-11170#,600#,7955#,8#,B-18080#,781#,71988009#,644#
0 23,,8,25,73,Mn,x-6700#,600#,7895#,8#,B-17289#,781#,72992807#,644#
0 22,,8,26,74,Fe,x-20660#,500#,8076#,7#,B-12881#,640#,73977821#,537#
0 23,,9,26,75,Fe,x-14700#,600#,7996#,8#,B-15861#,721#,74984219#,644#
0 24,,0,26,76,Fe,x-10590#,600#,7943#,8#,B-15070#,781#,75988631#,644#
0 23,,0,27,77,Co,x-21910#,600#,8082#,8#,B-15440#,721#,76976479#,644#
0 24,,1,27,78,Co,x-15320#,700#,7997#,9#,B-19560#,806#,77983553#,751#
0 23,,1,28,79,Ni,x-28160#,500#,8150#,6#,B-14248#,511#,78969769#,537#
0 24,,2,28,80,Ni,x-23240#,600#,8088#,7#,B-13440#,671#,79975051#,644#
0 25,,3,28,81,Ni,x-16090#,700#,8000#,9#,B-15820#,761#,80982727#,751#
0 26,,4,28,82,Ni,x-10720#,800#,7935#,10#,B-15010#,894#,81988492#,859#
0 25,,4,29,83,Cu,x-20390#,500#,8044#,6#,B-15900#,583#,82978110#,537#
0 26,,5,29,84,Cu,x-13720#,500#,7965#,6#,B-18110#,640#,83985271#,537#
0 25,,5,30,85,Zn,x-25100#,500#,8090#,6#,B-14644#,502#,84973054#,537#
0 26,,6,30,86,Zn,x-20062#,500#,8032#,6#,B-13699#,640#,85978463#,537#
0 25,,6,31,87,Ga,x-28870#,500#,8124#,6#,B-14720#,583#,86969007#,537#
0 26,,7,31,88,Ga,x-22390#,500#,8050#,6#,B-17129#,640#,87975963#,537#
0 25,,7,32,89,Ge,x-33040#,400#,8161#,4#,B-13490#,500#,88964530#,429#
0 26,,8,32,90,Ge,x-28470#,500#,8109#,6#,B-12520#,640#,89969436#,537#
0 25,,8,33,91,As,x-36500#,400#,8189#,4#,B-14080#,589#,90960816#,429#
0 26,,9,33,92,As,x-30380#,500#,8121#,5#,B-16344#,640#,91967386#,537#
0 25,,9,34,93,Se,x-40860#,400#,8225#,4#,B-12030#,588#,92956135#,429#
0 26,,0,34,94,Se,x-36803#,500#,8180#,5#,B-10846#,539#,93960490#,537#
0 27,,1,34,95,Se,x-30460#,500#,8112#,5#,B-13390#,583#,94967300#,537#
0 26,,1,35,96,Br,x-38210#,300#,8184#,3#,B-14872#,301#,95958980#,322#
0 27,,2,35,97,Br,x-34000#,400#,8140#,4#,B-13423#,420#,96963499#,429#
0 28,,3,35,98,Br,x-28050#,400#,8078#,4#,B-16070#,500#,97969887#,429#
0 27,,3,36,99,Kr,x-38400#,400#,8175#,4#,B-12721#,400#,98958776#,429#
0 28,,4,36,100,Kr,x-34470#,400#,8134#,4#,B-11796#,400#,99962995#,429#
0 29,,5,36,101,Kr,x-28580#,500#,8075#,5#,B-13987#,501#,00969318#,537#
0 28,,5,37,102,Rb,x-37252.3,282.90,8152.744,0.8128,B-14906.9991,106.6347,01960008.000,89.000
0 29,,6,37,103,Rb,x-33160#,400#,8112#,4#,B-14120#,447#,02964401#,429#
0 30,,7,37,104,Rb,x-27450#,500#,8057#,5#,B-16310#,583#,03970531#,537#
0 29,,7,38,105,Sr,x-38190#,500#,8152#,5#,B-12380#,640#,04959001#,537#
0 30,,8,38,106,Sr,x-34300#,600#,8114#,6#,B-11490#,781#,05963177#,644#
0 31,,9,38,107,Sr,x-28250#,700#,8057#,7#,B-13720#,860#,06969672#,751#
0 30,,9,39,108,Y,x-36780#,600#,8129#,6#,B-14170#,721#,07960515#,644#
0 31,,0,39,109,Y,x-32480#,700#,8089#,6#,B-13250#,860#,08965131#,751#
0 30,,0,40,110,Zr,x-42220#,500#,8171#,5#,B-10090#,976#,09954675#,537#
0 31,,1,40,111,Zr,x-36480#,600#,8118#,5#,B-12480#,671#,10960837#,644#
0 32,,2,40,112,Zr,x-32420#,700#,8081#,6#,B-11650#,761#,11965196#,751#
0 33,,3,40,113,Zr,x-26340#,300#,8027#,3#,B-13870#,500#,12971723#,322#
0 32,,3,41,114,Nb,x-34960#,500#,8097#,4#,B-14720#,583#,13962469#,537#
0 33,,4,41,115,Nb,x-30880#,500#,8061#,4#,B-13670#,640#,14966849#,537#
0 34,,5,41,116,Nb,x-25230#,300#,8012#,3#,B-15980#,583#,15972914#,322#
0 33,,5,42,117,Mo,x-35689#,500#,8096#,4#,B-12450#,640#,16961686#,537#
0 34,,6,42,118,Mo,x-32370#,500#,8067#,4#,B-10920#,640#,17965249#,537#
0 35,,7,42,119,Mo,x-26580#,300#,8019#,3#,B-13590#,583#,18971465#,322#
0 34,,7,43,120,Tc,x-35000#,500#,8083#,4#,B-14720#,640#,19962426#,537#
0 35,,8,43,121,Tc,x-31540#,500#,8054#,4#,B-13080#,640#,20966140#,537#
0 36,,9,43,122,Tc,x-26305#,300#,8011#,2#,B-15475#,583#,21971760#,322#
0 35,,9,44,123,Ru,x-36550#,500#,8089#,4#,B-12640#,640#,22960762#,537#
0 36,,0,44,124,Ru,x-33590#,600#,8065#,5#,B-11120#,721#,23963940#,644#
0 37,,1,44,125,Ru,x-28370#,300#,8023#,2#,B-13460#,583#,24969544#,322#
0 36,,1,45,126,Rh,x-37200#,500#,8087#,4#,B-14590#,640#,25960064#,537#
0 37,,2,45,127,Rh,x-33730#,600#,8060#,5#,B-13490#,781#,26963789#,644#
0 38,,3,45,128,Rh,x-27340#,300#,8010#,2#,B-17050#,583#,27970649#,322#
0 37,,3,46,129,Pd,x-37880#,600#,8086#,5#,B-13990#,721#,28959334#,644#
0 38,,4,46,130,Pd,x-32730#,300#,8046#,2#,B-13168#,520#,29964863#,322#
0 39,,5,46,131,Pd,x-25740#,300#,7993#,2#,B-15010#,583#,30972367#,322#
0 38,,5,47,132,Ag,x-34400#,500#,8053#,4#,B-16065#,504#,31963070#,537#
0 39,,6,47,133,Ag,x-29080#,500#,8013#,4#,B-15059#,539#,32968781#,537#
0 38,,6,48,134,Cd,x-39460#,300#,8086#,2#,B-12510#,361#,33957638#,322#
0 39,,7,48,135,Cd,x-32820#,400#,8036#,3#,B-14290#,500#,34964766#,429#
0 38,,7,49,136,In,x-40970#,300#,8091#,2#,B-15200#,361#,35956017#,322#
0 39,,8,49,137,In,x-35830#,400#,8053#,3#,B-14320#,500#,36961535#,429#
0 38,,8,50,138,Sn,x-45510#,400#,8118#,3#,B-9140#,500#,37951143#,429#
0 39,,9,50,139,Sn,x-39310#,400#,8073#,3#,B-10740#,565#,38957799#,429#
0 40,,0,50,140,Sn,x-34490#,300#,8038#,2#,B-9900#,671#,39962973#,322#
0 39,,0,51,141,Sb,x-39540#,500#,8069#,4#,B-11129#,640#,40957552#,537#
0 40,,1,51,142,Sb,x-33610#,300#,8027#,2#,B-12939#,583#,41963918#,322#
0 39,,1,52,143,Te,x-40530#,500#,8070#,3#,B-10259#,539#,42956489#,537#
0 40,,2,52,144,Te,x-36220#,300#,8040#,2#,B-9110#,500#,43961116#,322#
0 41,,3,52,145,Te,x-30010#,300#,7998#,2#,B-11120#,583#,44967783#,322#
0 40,,3,53,146,I,x-35540#,300#,8031#,2#,B-12415#,301#,45961846#,322#
0 41,,4,53,147,I,x-31200#,300#,8001#,2#,B-11199#,361#,46966505#,322#
0 40,,4,54,148,Xe,x-38650#,300#,8047#,2#,B-8261#,300#,47958508#,322#
0 41,,5,54,149,Xe,x-33000#,300#,8009#,2#,B-10300#,500#,48964573#,322#
0 42,,6,54,150,Xe,x-28990#,300#,7983#,2#,B-9180#,500#,49968878#,322#
0 41,,6,55,151,Cs,x-34280#,500#,8013#,3#,B-10660#,640#,50963199#,537#
0 42,,7,55,152,Cs,x-29130#,500#,7980#,3#,B-12480#,640#,51968728#,537#
0 41,,7,56,153,Ba,x-36470#,400#,8023#,3#,B-9590#,500#,52960848#,429#
0 42,,8,56,154,Ba,x-32920#,500#,8001#,3#,B-8610#,583#,53964659#,537#
0 41,,8,57,155,La,x-37930#,400#,8028#,3#,B-9850#,500#,54959280#,429#
0 42,,9,57,156,La,x-33050#,400#,7997#,3#,B-11769#,500#,55964519#,429#
0 43,1,0,57,157,La,x-29070#,300#,7972#,2#,B-10860#,500#,56968792#,322#
0 42,1,0,58,158,Ce,x-36540#,400#,8015#,3#,B-7610#,500#,57960773#,429#
0 43,1,1,58,159,Ce,x-31340#,500#,7983#,3#,B-9430#,640#,58966355#,537#
0 42,1,1,59,160,Pr,x-36200#,400#,8009#,2#,B-10525#,402#,59961138#,429#
0 43,1,2,59,161,Pr,x-32490#,500#,7986#,3#,B-9741#,640#,60965121#,537#
0 42,1,2,60,162,Nd,x-39010#,400#,8022#,2#,B-7030#,500#,61958121#,429#
0 43,1,3,60,163,Nd,x-34080#,500#,7992#,3#,B-8880#,640#,62963414#,537#
0 42,1,3,61,164,Pm,x-38360#,400#,8014#,2#,B-9565#,400#,63958819#,429#
0 43,1,4,61,165,Pm,x-34670#,500#,7992#,3#,B-8840#,640#,64962780#,537#
0 42,1,4,62,166,Sm,x-40450#,400#,8023#,2#,B-6299#,412#,65956575#,429#
0 43,1,5,62,167,Sm,x-35330#,500#,7992#,3#,B-8440#,640#,66962072#,537#
0 44,1,6,62,168,Sm,x-31640#,300#,7971#,2#,B-7610#,500#,67966033#,322#
0 43,1,6,63,169,Eu,x-35660#,500#,7991#,3#,B-8230#,640#,68961717#,537#
0 44,1,7,63,170,Eu,x-30860#,500#,7963#,3#,B-9989#,707#,69966870#,537#
0 43,1,7,64,171,Gd,x-36210#,500#,7990#,3#,B-7560#,640#,70961127#,537#
0 44,1,8,64,172,Gd,x-32970#,300#,7972#,2#,B-6720#,583#,71964605#,322#
