Z,A,El,mass_MeV,estimated
30,71,Zn,66068.75247755462,False
31,71,Ga,66065.94214121773,False
32,71,Ge,66066.17461420088,False
33,71,As,66068.18801075844,False
34,71,Se,66072.93475566531,False
35,71,Br,66079.57884227953,False
36,71,Kr,66089.75405536707,False
37,71,Rb,66103.7910287596,True
25,72,Mn,67056.4058284579,True
26,72,Fe,67038.3255279299,True
27,72,Co,67027.2752133929,True
28,72,Ni,67013.34930204219,False
29,72,Cu,67007.79236219492,False
30,72,Zn,66999.42987389045,False
31,72,Ga,66998.98708816885,False
32,72,Ge,66994.98946013408,False
33,72,As,66999.34556435923,False
34,72,Se,66999.70717968472,False
35,72,Br,67008.51361807842,False
36,72,Kr,67013.63478635471,False
37,72,Rb,67029.24532341951,True
25,73,Mn,67992.3692395813,True
26,73,Fe,67975.07977754627,True
27,73,Co,67961.09991405715,True
28,73,Ni,67948.96131633042,False
29,73,Cu,67940.08202578298,False
30,73,Zn,67933.47606522236,False
31,73,Ga,67929.37013236832,False
32,73,Ge,67927.77193999196,False
33,73,As,67928.11671390409,False
34,73,Se,67930.84207934895,False
35,73,Br,67935.42368898135,False
36,73,Kr,67942.51771519186,False
37,73,Rb,67953.05785972391,False
38,73,Sr,67967.11922894699,True
26,74,Fe,68909.90397138243,True
27,74,Co,68897.02327093417,True
28,74,Ni,68881.86320441727,True
29,74,Cu,68874.55736576283,False
30,74,Zn,68864.80685809633,False
31,74,Ga,68862.51394810346,False
32,74,Ge,68857.14112738047,False
33,74,As,68859.70350930223,False
34,74,Se,68858.3503650794,False
35,74,Br,68865.27540894478,False
36,74,Kr,68868.2317290374,False
37,74,Rb,68878.64755636654,False
38,74,Sr,68889.73619257093,True
26,75,Fe,69847.3577730697,True
27,75,Co,69831.4972229878,True
28,75,Ni,69817.81730059967,True
29,75,Cu,69807.587455383,False
30,75,Zn,69799.49876114004,False
31,75,Ga,69793.59703806571,False
32,75,Ge,69790.20070810393,False
33,75,As,69789.02347654235,False
34,75,Se,69789.88819183258,False
35,75,Br,69792.95065567816,False
36,75,Kr,69797.73404556302,False
37,75,Rb,69804.83897956947,False
38,75,Sr,69815.4389725976,False
39,75,Y,69830.23784296133,True
26,76,Fe,70782.96162746959,True
27,76,Co,70767.89191588064,True
28,76,Ni,70751.3616215391,True
29,76,Cu,70742.57015225563,False
30,76,Zn,70731.24875430494,False
31,76,Ga,70727.25513169481,False
32,76,Ge,70720.33888113375,False
33,76,As,70721.26039893433,False
34,76,Se,70718.29982191366,False
35,76,Br,70723.26270139712,False
36,76,Kr,70724.53807517733,False
37,76,Rb,70733.072694277,False
38,76,Sr,70739.30413831878,False
39,76,Y,70755.30184159233,True
27,77,Co,71703.13621355698,True
28,77,Ni,71687.69576731526,True
29,77,Cu,71676.18304979088,False
30,77,Zn,71666.25667603784,False
31,77,Ga,71659.05352529325,False
32,77,Ge,71653.83301317094,False
33,77,As,71651.12954715242,False
34,77,Se,71650.44638937771,False
35,77,Br,71651.81106549752,False
36,77,Kr,71654.87642628976,False
37,77,Rb,71660.21537788719,False
38,77,Sr,71667.24243898668,False
39,77,Y,71678.60717935796,True
40,77,Zr,71693.4458804095,True
27,78,Co,72641.21970525749,True
28,78,Ni,72621.66019209487,True
29,78,Cu,72611.75051071617,False
30,78,Zn,72599.05674250438,False
31,78,Ga,72592.83589886548,False
32,78,Ge,72584.67792940614,False
33,78,As,72583.72301754197,False
34,78,Se,72579.51403349536,False
